rat_ID,line,genotype,sex,DOB
137,Tsc2-LE,WT,M,1/27/2022
138,Tsc2-LE,Het,M,1/27/2022
139,Tsc2-LE,Het,M,1/27/2022
140,Tsc2-LE,WT,M,1/27/2022
141,Tsc2-LE,Het,M,1/27/2022
142,Tsc2-LE,WT,M,1/27/2022
144,Tsc2-LE,Het,M,1/27/2022
145,Tsc2-LE,Het,M,1/27/2022
150,Tsc2-LE,WT,M,1/30/2022
153,Tsc2-LE,WT,M,1/30/2022
156,Tsc2-LE,Het,F,1/30/2022
157,Tsc2-LE,WT,F,1/30/2022
159,Tsc2-LE,Het,F,1/30/2022
160,Tsc2-LE,WT,F,1/30/2022
161,Tsc2-LE,Het,M,2/6/2022
162,Tsc2-LE,WT,M,2/6/2022
163,Tsc2-LE,WT,F,2/6/2022
164,Tsc2-LE,Het,F,2/6/2022
180,Fmr1-LE,KO,M,2/6/2022
181,Fmr1-LE,KO,M,2/6/2022
182,Fmr1-LE,KO,M,2/6/2022
183,Fmr1-LE,KO,M,2/6/2022
184,Fmr1-LE,WT,M,2/6/2022
185,Fmr1-LE,WT,M,2/6/2022
186,Fmr1-LE,WT,M,2/6/2022
187,Fmr1-LE,WT,M,2/6/2022
195,Fmr1-LE,WT,M,6/13/2022
196,Fmr1-LE,WT,M,6/13/2022
197,Fmr1-LE,KO,M,6/13/2022
198,Fmr1-LE,KO,M,6/13/2022
209,Fmr1-LE,WT,M,6/15/2022
210,Fmr1-LE,KO,M,6/15/2022
211,Fmr1-LE,WT,M,6/15/2022
213,Fmr1-LE,KO,M,6/15/2022
